Date,seasonal
2014-11-04,2.5067913910552333
2014-11-05,2.361775500644273
2014-11-06,2.4414197928817174
2014-11-07,2.6485776924250963
2014-11-10,2.925327098817789
2014-11-11,2.892270843110027
2014-11-12,2.736259884205916
2014-11-13,2.835682121648839
2014-11-14,2.9370015280415336
2014-11-17,2.47257024950272
2014-11-18,2.0269414823794336
2014-11-19,2.027547418452492
2014-11-20,2.027420934434228
2014-11-21,1.6742346330643663
2014-11-24,1.6506819846625387
2014-11-25,1.6755605234753244
2014-11-26,1.3475870988177905
2014-11-28,1.6307638111465574
2014-12-01,1.7188191536123107
2014-12-02,1.5683400668543186
2014-12-03,1.4004542221054606
2014-12-04,1.0269294732470131
2014-12-05,1.6487476011008946
2014-12-08,1.7591456832926742
2014-12-09,1.9246039024707584
2014-12-10,1.8229066421967843
2014-12-11,1.5314072358040907
2014-12-12,1.928533582836054
2014-12-15,2.3852533545255517
2014-12-16,2.5373403408269217
2014-12-17,2.7538879663976976
2014-12-18,2.702115591968475
2014-12-19,2.5939581947082013
2014-12-22,2.1366409800963284
2014-12-23,2.438538012059799
2014-12-24,2.209628423018703
2014-12-26,2.1473004321511215
2014-12-29,2.074021573703633
2014-12-30,1.9502559572652767
2014-12-31,1.7711586056671051
2015-01-02,1.3696876011008945
2015-01-05,1.3594718476762369
2015-01-06,0.9615461855757809
2015-01-07,0.4110187883155062
2015-01-08,0.06167052347532398
2015-01-09,-0.06534742173015595
2015-01-12,-0.4125073304059539
2015-01-13,-0.5197657778945379
2015-01-14,-0.4613342710452233
2015-01-15,-0.5731571934196535
2015-01-16,-0.4096880153374609
2015-01-20,-0.04408742173015656
2015-01-21,-0.40041513862513134
2015-01-22,-0.5416478783511611
2015-01-23,-0.7694296135109766
2015-01-26,-0.7061115769812973
2015-01-27,-0.8487230838306108
2015-01-28,-0.8823687459310692
2015-01-29,-0.5548932664790145
2015-01-30,-0.7550328555201089
2015-02-02,-0.8998587459310698
2015-02-03,-0.8251587459310692
2015-02-04,-1.140985092963032
2015-02-05,-1.7844170564333521
2015-02-06,-1.9068227641959106
2015-02-09,-2.380177193419654
2015-02-10,-1.925793175154813
2015-02-11,-2.011229339538376
2015-02-12,-2.4170772847438533
2015-02-13,-2.444151257346594
2015-02-17,-2.51515888291737
2015-02-18,-2.327069704835178
2015-02-19,-2.5892784719584667
2015-02-20,-2.334522627209609
2015-02-23,-2.310613175154813
2015-02-24,-2.115602535885407
2015-02-25,-2.168937467392257
2015-02-26,-2.0163144080315267
2015-02-27,-1.7623849559767324
2015-03-02,-1.5721196591730786
2015-03-03,-1.4372329925064125
2015-03-04,-1.4515138144242208
2015-03-05,-1.068453175154815
2015-03-06,-1.3606817139675997
2015-03-09,-1.3321569194470513
2015-03-10,-1.4174323532370052
2015-03-11,-1.344305960542941
2015-03-12,-1.6170450016388318
2015-03-13,-2.1374215769812976
2015-03-16,-2.48056975049728
2015-03-17,-2.4157269194470516
2015-03-18,-2.4511133121411155
2015-03-19,-2.5235278326890613
2015-03-20,-2.9045136774379157
2015-03-23,-2.711229978807783
2015-03-24,-2.9765144536936265
2015-03-25,-2.8332280153374603
2015-03-26,-2.964462353237006
2015-03-27,-2.8681966911365504
2015-03-30,-3.046724864652531
2015-03-31,-3.376150298442485
2015-04-01,-3.2615144536936267
2015-04-02,-3.270259933145681
2015-04-06,-3.133021668305499
2015-04-07,-3.108177421730157
2015-04-08,-2.8688428098580094
2015-04-09,-3.043781394332896
2015-04-10,-3.558732079264402
2015-04-13,-3.3762677870269586
2015-04-14,-3.4063323988991083
2015-04-15,-3.323193677437919
2015-04-16,-3.204535321273535
2015-04-17,-3.15973061807719
2015-04-20,-3.0867529925064137
2015-04-21,-3.2221514856570987
2015-04-22,-3.2030877870269574
2015-04-23,-3.3366738600863206
2015-04-24,-3.191512444561204
2015-04-27,-2.683768928579469
2015-04-28,-2.451728152323765
2015-04-29,-2.2202074673922545
2015-04-30,-2.2265798418214784
2015-05-01,-2.2281583806342646
2015-05-04,-2.0458246820041266
2015-05-05,-2.2033032208169145
2015-05-06,-2.019822627209608
2015-05-07,-1.70665299250641
2015-05-08,-2.1262731751548123
2015-05-11,-2.2050746363420304
2015-05-12,-1.8413524902233047
2015-05-13,-1.9920568281228515
2015-05-14,-2.1184241797210235
2015-05-15,-1.9209772390817537
2015-05-18,-1.939305869218738
2015-05-19,-2.4287889742415714
2015-05-20,-2.0062308920497918
2015-05-21,-1.7114165998123485
2015-05-22,-1.301708608944769
2015-05-26,-1.5457450016388319
2015-05-27,-1.268401303008694
2015-05-28,-1.2840832664790138
2015-05-29,-1.169446965109152
2015-06-01,-1.3990704810908858
2015-06-02,-1.5295538144242173
2015-06-03,-0.940387394332896
2015-06-04,-1.0872046546068685
2015-06-05,-1.268358736798648
2015-06-08,-1.308465038168512
2015-06-09,-1.193634079264402
2015-06-10,-1.050516380634265
2015-06-11,-0.98337692857947
2015-06-12,-0.8389786820041283
2015-06-15,-1.0491363806342657
2015-06-16,-0.9792536409082384
2015-06-17,-1.0436329285794712
2015-06-18,-0.9849596135109779
2015-06-19,-0.9255694765246767
2015-06-22,-0.9872220792644022
2015-06-23,-0.8397574217301558
2015-06-24,-0.9155571477575526
2015-06-25,-1.0192952299493339
2015-06-26,-0.9386185176205666
2015-06-29,-0.961579723100018
2015-06-30,-0.9744414765246758
2015-07-01,-1.1508330929630328
2015-07-02,-1.164949640908238
2015-07-06,-1.2061814217301556
2015-07-07,-0.9690500244698819
2015-07-08,-0.9308550655657717
2015-07-09,-0.9449734217301555
