Date,seasonal
2014-11-25,0.17659210333166597
2014-11-26,0.790434207890716
2014-11-28,0.0682237061371529
2014-12-01,0.377927560911385
2014-12-02,-0.9580216514285318
2014-12-03,-0.23575650718490082
2014-12-04,-0.4226612367406264
2014-12-05,1.0465529265649367
2014-12-08,0.8400347202516055
2014-12-09,2.101380626269708
2014-12-10,2.0595141112712474
2014-12-11,2.9791188333856806
2014-12-12,3.025438228825516
2014-12-15,3.6881723084042157
2014-12-16,5.041472659063692
2014-12-17,4.372259673262892
2014-12-18,6.518526948441717
2014-12-19,6.082376163317794
2014-12-22,6.6457267815844165
2014-12-23,5.8937304512186675
2014-12-24,7.266692497105966
2014-12-26,6.524268555550321
2014-12-29,5.895773275602396
2014-12-30,5.4508205241988925
2014-12-31,6.0747796657603095
2015-01-02,5.078597571552118
2015-01-05,4.111775348846847
2015-01-06,4.1759449286183745
2015-01-07,3.632276319277927
2015-01-08,1.874868699749365
2015-01-09,0.6440280777314358
2015-01-12,-0.32002829436674407
2015-01-13,-1.207245905740548
2015-01-14,-0.6074541777600457
2015-01-15,2.8879294323774705
2015-01-16,3.872037100483329
2015-01-20,1.8674879329025265
2015-01-21,3.118880478559065
2015-01-22,2.200214213776871
2015-01-23,-0.39060379596982475
2015-01-26,0.9212532864493939
2015-01-27,1.2783293931087099
2015-01-28,2.4688189905163793
2015-01-29,3.109483983872183
2015-01-30,2.8983024895643528
2015-02-02,3.003197376713408
2015-02-03,4.236676574315689
2015-02-04,5.954444800137965
2015-02-05,2.5242342929497585
2015-02-06,1.4214743821224158
2015-02-09,-0.380218517816723
2015-02-10,-1.316997846602787
2015-02-11,-0.3387144826682713
2015-02-12,-0.24734137698771574
2015-02-13,0.3180519646341382
2015-02-17,0.07658088568307564
2015-02-18,1.4333206684257758
2015-02-19,-0.306406839561725
2015-02-20,-0.1241276342394626
2015-02-23,-0.4060937034304746
2015-02-24,0.8744248745283719
2015-02-25,0.4464066616656379
2015-02-26,0.810116847374179
2015-02-27,1.0425512638446284
2015-03-02,1.7410480048738668
2015-03-03,1.7868328898100208
2015-03-04,2.08974811281412
2015-03-05,3.735134172022109
2015-03-06,4.512396364142976
2015-03-09,3.865544767920337
2015-03-10,5.013082410447165
2015-03-11,4.520898293160474
2015-03-12,2.03325496853926
2015-03-13,-1.1352319566990763
2015-03-16,-1.2729669072132175
2015-03-17,-1.0152096767768113
2015-03-18,-3.6683463507955434
2015-03-19,-4.012073243136217
2015-03-20,-2.4696860237028595
2015-03-23,-0.46034654741794
2015-03-24,-1.9970526967238682
2015-03-25,-3.5008364548786046
2015-03-26,-3.112973699812967
2015-03-27,-3.1513932891996586
2015-03-30,-3.2747410863321758
2015-03-31,-4.068798254813727
2015-04-01,-4.424505163854074
2015-04-02,-3.683691055898204
2015-04-06,-2.429512049818104
2015-04-07,-4.1184624360396525
2015-04-08,-4.031034486787449
2015-04-09,-4.466017786426023
2015-04-10,-6.1411523355016495
2015-04-13,-4.747459834659959
2015-04-14,-5.393653505342159
2015-04-15,-4.93243786688094
2015-04-16,-1.8455387287308118
2015-04-17,-2.8540956520963006
2015-04-20,-2.316642736608534
2015-04-21,-2.6305645178261896
2015-04-22,-2.8870520811466855
2015-04-23,-2.6749720148664036
2015-04-24,-2.110692568329868
2015-04-27,-0.8574985432118167
2015-04-28,-0.45208437822010783
2015-04-29,-0.5393062084052842
2015-04-30,0.985948183129979
2015-05-01,0.24129232839528836
2015-05-04,-0.2588469846972059
2015-05-05,-0.49592350278646147
2015-05-06,1.3339377854148577
2015-05-07,1.5479949692248707
2015-05-08,2.44310724813269
2015-05-11,1.406283391900856
2015-05-12,3.0916963292219526
2015-05-13,3.423905525269065
2015-05-14,3.1713901957600843
2015-05-15,3.409712682811691
2015-05-18,4.773393361227213
2015-05-19,3.821244746056374
2015-05-20,4.6063931576373385
2015-05-21,6.321967274104677
2015-05-22,6.393264779452925
2015-05-26,9.119196450456148
2015-05-27,8.225611778390512
2015-05-28,7.2510466329763394
2015-05-29,6.713070283541983
2015-06-01,5.531159414239721
2015-06-02,3.2985461145955637
2015-06-03,3.7333234937403734
2015-06-04,2.88168712447936
2015-06-05,3.431680369503993
2015-06-08,3.3958150212803364
2015-06-09,4.443779063351659
2015-06-10,5.9542532709815665
2015-06-11,7.8564800613183
2015-06-12,9.227498984028262
2015-06-15,8.167215884022022
2015-06-16,9.692647125967618
2015-06-17,9.819848502407922
2015-06-18,9.864755620277686
2015-06-19,10.1781359269919
2015-06-22,9.323482605982651
2015-06-23,6.2927733628353195
2015-06-24,5.615145427295122
2015-06-25,4.972168985193221
2015-06-26,4.831362405603386
2015-06-29,6.088579946605648
2015-06-30,7.44984307752522
2015-07-01,5.77119011088218
2015-07-02,5.649108908205321
2015-07-06,6.322519970785604
2015-07-07,8.297912740377024
2015-07-08,7.46302878242272
2015-07-09,7.0131202222838915
2015-07-10,6.512240897984862
2015-07-13,5.894790721066506
2015-07-14,7.116127645998304
2015-07-15,6.659530017339541
2015-07-16,8.106403696304653
2015-07-17,7.8247135366768195
2015-07-20,8.41290537435341
2015-07-21,9.224840226430937
2015-07-22,9.706337322662469
2015-07-23,7.733629497955437
2015-07-24,8.743872309184562
2015-07-27,8.026700866447246
2015-07-28,8.68615200571443
2015-07-29,8.089137210123676
2015-07-30,10.349652463896115
2015-07-31,10.848632863249993
2015-08-03,9.789954755139181
2015-08-04,10.482487601250327
2015-08-05,10.063497034944408
2015-08-06,10.63790854734541
2015-08-07,13.051214541666637
2015-08-10,13.29963640245298
